cod_imovel,area_desmat_ha,area_total_ha,perc_desmat,sujeito_suspensao
AP-1600055-03C930DE59CD49338A96A2917D8B876C,5.679650441331936,51.19661065891315,11.09,SIM
AP-1600055-0495F46DC70C4C1D98CC43F608F226EC,0.9975542326575633,44.13845834086567,2.26,SIM
AP-1600055-142CAED79BFE4E6FB0FFD68580378FE9,0.022291087566822278,21.279012983028164,0.1,SIM
AP-1600055-18A0301848534DF6B6CF6C2402C0F2FB,0.20198879274533513,23.676925251855916,0.85,SIM
AP-1600055-1BBB01F768884EA4BB51EB27839A37A2,0.04268697915262145,136.6343647903695,0.03,SIM
AP-1600055-1D15FEDD671E438CA19D3CDC4B7FCA5D,14.618791114012128,495.31253449996217,2.95,SIM
AP-1600055-23D6F7D24F5E4A1BB8769D7747556863,4.047576452157706,53.43671447931839,7.57,SIM
AP-1600055-2449354F51A44CC286816EEB3196C89B,1.4750896723763116,69.05322673284232,2.14,SIM
AP-1600055-3158236030A94807A99C43BD3E470705,6.570925221173408,39.05101435717439,16.83,SIM
AP-1600055-3472726249AA42438D6A0A711CE9C784,0.008885273565296684,2.0674003300408583,0.43,SIM
AP-1600055-38A2B7CFBFBF425EABE22A1C7A6AF9D2,0.5518578079327973,17.902504765637573,3.08,SIM
AP-1600055-395824ECF65F4C6EB5F43353BAC0AF2C,6.897393080500471,73.60387939953762,9.37,SIM
AP-1600055-3EB007E632C24B32A9AD6D4C04C20DB0,1.8701275523852217,48.47954701459381,3.86,SIM
AP-1600055-42E0B05F68BC48D0895A0A11F03755B5,1.0431279855370106,110.75657323383857,0.94,SIM
AP-1600055-42FDE173E6684EB8B91B79A3D7D2B3B4,0.09912937949675761,49.52850142194717,0.2,SIM
AP-1600055-479B4DDC35F3417FB44CD277112858A6,7.182716321892132,572.7076907495975,1.25,SIM
AP-1600055-4CF2B2CB7069470890CA47FEAB69030A,1.72333293477211,40.01442044223056,4.31,SIM
AP-1600055-4D40BB3DCA554D9184EB4E39B106ADDB,10.576934559814717,98.23708395375476,10.77,SIM
AP-1600055-4FCF6A98C9A74F4593395BF8D69F179C,0.1241726385692024,49.624806927761185,0.25,SIM
AP-1600055-50516DE72AA2467F88745CF8EB2F7A27,1.1730724794731422,3.0410920700066395,38.57,SIM
AP-1600055-5EB6C49B9EAC4E5C869F518EF917CD92,6.284330085894496,49.771722344077084,12.63,SIM
AP-1600055-62A7B99984AB4A02931B64F932BC887F,16.939355119879327,89.79009503171783,18.87,SIM
AP-1600055-6E36B465D551409F8FB4FBE9DB2CFDDB,12.811748394038965,46.8637895049184,27.34,SIM
AP-1600055-6EBDB2781E6B48819F101FD4E939622E,9.613567887201715,50.48360191922236,19.04,SIM
AP-1600055-73E011DCE0A24C5BACBB639D49341B4C,3.161848090851898,10.035342502219624,31.51,SIM
AP-1600055-7E1A1B53EC2A443EB4BCABFABC4618E3,2.551524175997309,50.00008668666741,5.1,SIM
AP-1600055-7F28983E3B1344C3B721F60D4E8C24A8,0.9860374404042771,54.597279795410714,1.81,SIM
AP-1600055-89DBD08EAAC84014B408763F9E372910,3.024823759235812,50.000400612193665,6.05,SIM
AP-1600055-8DE587A82A4E426E9DD53777901C612A,0.20321884795459216,50.00071894915915,0.41,SIM
AP-1600055-8EF683C059834F09A024A08C50A95224,6.254632092855712,129.23163116686823,4.84,SIM
AP-1600055-9124354CCB3D44C58E42C5E1DAEBB323,0.6018465704622354,49.306345247805126,1.22,SIM
AP-1600055-978714F59BE64C95ADBCE07EFDDB09FC,4.102205373034457,54.93504733368216,7.47,SIM
AP-1600055-9803B24B3E084A9B9A2AC8290AB1AF9E,5.753281858660334,23.071905219471642,24.94,SIM
AP-1600055-9969091764CE4A209175A917D8FE358F,6.1350646029332445,49.4548221641934,12.41,SIM
AP-1600055-9986DA9B02A54D6CA0DE84AC4B7EB721,6.393616846617298,150.2273741339524,4.26,SIM
AP-1600055-9AF61A4586114B5BB09C0A84EE9CDA5E,6.48958834228453,137.02943175431025,4.74,SIM
